id,emoji,codepoints,name_en,name_ja,en_flag,importance,category,category_ja,subcategory,subcategory_ja,unicode_version,abstract_group_id,abstract_group_role,abstract_variant_kind,abstract_is_source,abstract_group_key,direct_ja,visual_ja,context_ja,symbolic_ja,emotion_ja,action_ja,culture_ja,search_ja,meaning_ja,usage_ja,impression_ja,class_ja,hidden_variant,variant_kind
11,🫠,1FAE0,melting face,溶けている顔,,3,Smileys & Emotion,顔文字と感情,face-smiling,笑顔,14,11,independent,independent,1,melting face,溶ける顔;顔;笑顔,溶ける;液体;崩れる;黄色;とろける,チャット;返信;雑談;SNS;暑い日;疲れた時;気まずい時,限界;暑さ;疲労;照れ;気まずさ;崩壊,暑い;疲れた;恥ずかしい;気まずい;へとへと;とろける,溶ける;崩れる;照れる;耐える,ネット表現,溶ける顔;顔;笑顔;溶ける;液体;崩れる;黄色;とろける;チャット;返信;雑談;SNS;暑い日;疲れた時;気まずい時;限界;暑さ;疲労;照れ;気まずさ;崩壊;暑い;疲れた;恥ずかしい;へとへと;耐える;ネット表現,溶ける顔;顔;笑顔;限界;暑さ;疲労;照れ;気まずさ;崩壊,チャット;返信;雑談;SNS;暑い日;疲れた時;気まずい時;溶ける;崩れる;照れる;耐える;ネット表現,溶ける;液体;崩れる;黄色;とろける;暑い;疲れた;恥ずかしい;気まずい;へとへと,顔文字と感情;笑顔,,
12,😉,1F609,winking face,ウインク,,3,Smileys & Emotion,顔文字と感情,face-smiling,笑顔,0.6,12,independent,independent,1,winking face,ウインク;顔;笑顔,片目;閉じた目;にっこり;黄色;片目を閉じる,チャット;返信;雑談;SNS;冗談;合図;内緒,合図;秘密;冗談;親しみ;いたずら;含み,楽しい;親しい;軽い;おちゃめ;かわいい,ウインクする;合図する;からかう,,ウインク;顔;笑顔;片目;閉じた目;にっこり;黄色;片目を閉じる;チャット;返信;雑談;SNS;冗談;合図;内緒;秘密;親しみ;いたずら;含み;楽しい;親しい;軽い;おちゃめ;かわいい;ウインクする;からかう,ウインク;顔;笑顔;合図;秘密;冗談;親しみ;いたずら;含み,チャット;返信;雑談;SNS;冗談;合図;内緒;ウインクする;合図する;からかう,片目;閉じた目;にっこり;黄色;片目を閉じる;楽しい;親しい;軽い;おちゃめ;かわいい,顔文字と感情;笑顔,,
13,😊,1F60A,smiling face with smiling eyes,ほほえみ,,3,Smileys & Emotion,顔文字と感情,face-smiling,笑顔,0.6,13,independent,independent,1,smiling face with smiling eyes,ほほえみ;笑顔;顔,赤らめ;笑った目;小さな口;黄色;やわらかい,挨拶;返信;チャット;雑談;SNS;お礼;褒める,感謝;好意;やさしさ;安心;親しみ,嬉しい;やさしい;穏やか;かわいい;照れる;あたたかい,微笑む;感謝する;喜ぶ,,ほほえみ;笑顔;顔;赤らめ;笑った目;小さな口;黄色;やわらかい;挨拶;返信;チャット;雑談;SNS;お礼;褒める;感謝;好意;やさしさ;安心;親しみ;嬉しい;穏やか;かわいい;照れる;あたたかい;微笑む;喜ぶ,ほほえみ;笑顔;顔;感謝;好意;やさしさ;安心;親しみ,挨拶;返信;チャット;雑談;SNS;お礼;褒める;微笑む;感謝する;喜ぶ,赤らめ;笑った目;小さな口;黄色;やわらかい;嬉しい;やさしい;穏やか;かわいい;照れる;あたたかい,顔文字と感情;笑顔,,
14,😇,1F607,smiling face with halo,天使の輪がついた笑顔,,3,Smileys & Emotion,顔文字と感情,face-smiling,笑顔,1,14,independent,independent,1,smiling face with halo,天使の笑顔;天使;顔;笑顔;輪,天使の輪;丸い輪;笑った目;黄色;頭上,チャット;返信;雑談;SNS;お礼;謝る;よいこと,善意;無邪気;いい子;清らか;許し;純粋;天国,嬉しい;穏やか;安心;かわいい;すました,微笑む;許す;感謝する,天使;宗教;天国,天使の笑顔;天使;顔;笑顔;輪;天使の輪;丸い輪;笑った目;黄色;頭上;チャット;返信;雑談;SNS;お礼;謝る;よいこと;善意;無邪気;いい子;清らか;許し;純粋;天国;嬉しい;穏やか;安心;かわいい;すました;微笑む;許す;感謝する;宗教,天使の笑顔;天使;顔;笑顔;輪;善意;無邪気;いい子;清らか;許し;純粋;天国,チャット;返信;雑談;SNS;お礼;謝る;よいこと;微笑む;許す;感謝する;天使;宗教;天国,天使の輪;丸い輪;笑った目;黄色;頭上;嬉しい;穏やか;安心;かわいい;すました,顔文字と感情;笑顔,,
15,🥰,1F970,smiling face with hearts,ハートに囲まれた笑顔,,3,Smileys & Emotion,顔文字と感情,face-affection,愛情の顔,11,15,independent,independent,1,smiling face with hearts,ハートの笑顔;笑顔;顔;ハート,ハート;赤いハート;笑った目;黄色;頬,チャット;返信;SNS;恋愛;お礼;褒める;推し活,愛情;好意;大好き;感謝;幸せ;親しみ;ときめき,嬉しい;幸せ;かわいい;あたたかい;照れる;ほっこり,喜ぶ;感謝する;褒める;好きと伝える,恋愛;推し活,ハートの笑顔;笑顔;顔;ハート;赤いハート;笑った目;黄色;頬;チャット;返信;SNS;恋愛;お礼;褒める;推し活;愛情;好意;大好き;感謝;幸せ;親しみ;ときめき;嬉しい;かわいい;あたたかい;照れる;ほっこり;喜ぶ;好きと伝える,ハートの笑顔;笑顔;顔;ハート;愛情;好意;大好き;感謝;幸せ;親しみ;ときめき,チャット;返信;SNS;恋愛;お礼;褒める;推し活;喜ぶ;感謝する;好きと伝える,ハート;赤いハート;笑った目;黄色;頬;嬉しい;幸せ;かわいい;あたたかい;照れる;ほっこり,顔文字と感情;愛情の顔,,
16,😍,1F60D,smiling face with heart-eyes,ハート目の笑顔,,3,Smileys & Emotion,顔文字と感情,face-affection,愛情の顔,0.6,16,independent,independent,1,smiling face with heart-eyes,ハート目;笑顔;顔;ハート,ハートの目;赤い目;大きな口;黄色;うっとり,チャット;返信;SNS;恋愛;推し活;褒める;欲しい物,一目惚れ;大好き;憧れ;夢中;推し;魅力,嬉しい;好き;かわいい;うっとり;興奮;ときめく,見とれる;好きになる;褒める;惚れる,恋愛;推し活,ハート目;笑顔;顔;ハート;ハートの目;赤い目;大きな口;黄色;うっとり;チャット;返信;SNS;恋愛;推し活;褒める;欲しい物;一目惚れ;大好き;憧れ;夢中;推し;魅力;嬉しい;好き;かわいい;興奮;ときめく;見とれる;惚れる,ハート目;笑顔;顔;ハート;一目惚れ;大好き;憧れ;夢中;推し;魅力,チャット;返信;SNS;恋愛;推し活;褒める;欲しい物;見とれる;好きになる;惚れる,ハートの目;赤い目;大きな口;黄色;うっとり;嬉しい;好き;かわいい;興奮;ときめく,顔文字と感情;愛情の顔,,
17,🤩,1F929,star-struck,目が星の笑顔,,3,Smileys & Emotion,顔文字と感情,face-affection,愛情の顔,5,17,independent,independent,1,star-struck,星の目;笑顔;顔;星,星;星形の目;大きな口;黄色;きらきら,チャット;返信;SNS;推し活;発表;成功;期待,憧れ;スター;期待;感動;輝き;大興奮;注目,嬉しい;わくわく;興奮;感動;楽しい;きらきら,感動する;期待する;注目する;喜ぶ,推し活;スター;エンタメ,星の目;笑顔;顔;星;星形の目;大きな口;黄色;きらきら;チャット;返信;SNS;推し活;発表;成功;期待;憧れ;スター;感動;輝き;大興奮;注目;嬉しい;わくわく;興奮;楽しい;感動する;期待する;エンタメ,星の目;笑顔;顔;星;憧れ;スター;期待;感動;輝き;大興奮;注目,チャット;返信;SNS;推し活;発表;成功;期待;感動する;期待する;注目する;喜ぶ;スター;エンタメ,星;星形の目;大きな口;黄色;きらきら;嬉しい;わくわく;興奮;感動;楽しい,顔文字と感情;愛情の顔,,
18,😘,1F618,face blowing a kiss,投げキッス,,3,Smileys & Emotion,顔文字と感情,face-affection,愛情の顔,0.6,18,independent,independent,1,face blowing a kiss,投げキッス;キス;顔;ハート,片目;ウインク;くちびる;ハート;黄色,チャット;返信;SNS;恋愛;挨拶;お礼;別れ際,愛情;好意;キス;親しみ;かわいげ;サービス,好き;嬉しい;かわいい;照れる;親しい,キスする;投げキッスする;ウインクする;感謝する,恋愛,投げキッス;キス;顔;ハート;片目;ウインク;くちびる;黄色;チャット;返信;SNS;恋愛;挨拶;お礼;別れ際;愛情;好意;親しみ;かわいげ;サービス;好き;嬉しい;かわいい;照れる;親しい;キスする;投げキッスする;感謝する,投げキッス;キス;顔;ハート;愛情;好意;親しみ;かわいげ;サービス,チャット;返信;SNS;恋愛;挨拶;お礼;別れ際;キスする;投げキッスする;ウインクする;感謝する,片目;ウインク;くちびる;ハート;黄色;好き;嬉しい;かわいい;照れる;親しい,顔文字と感情;愛情の顔,,
19,😗,1F617,kissing face,キス,,3,Smileys & Emotion,顔文字と感情,face-affection,愛情の顔,1,19,independent,independent,1,kissing face,キス;顔;口をすぼめる,丸い口;すぼめた口;丸い目;黄色;無表情,チャット;返信;SNS;恋愛;挨拶;軽い返事,キス;口笛;すまし顔;さりげない好意,好き;照れる;平気;すました;軽い,キスする;口をすぼめる;口笛を吹く,恋愛,キス;顔;口をすぼめる;丸い口;すぼめた口;丸い目;黄色;無表情;チャット;返信;SNS;恋愛;挨拶;軽い返事;口笛;すまし顔;さりげない好意;好き;照れる;平気;すました;軽い;キスする;口笛を吹く,キス;顔;口をすぼめる;口笛;すまし顔;さりげない好意,チャット;返信;SNS;恋愛;挨拶;軽い返事;キスする;口をすぼめる;口笛を吹く,丸い口;すぼめた口;丸い目;黄色;無表情;好き;照れる;平気;すました;軽い,顔文字と感情;愛情の顔,,
20,☺️,263A;FE0F,smiling face,ほほえみ,,3,Smileys & Emotion,顔文字と感情,face-affection,愛情の顔,0.6,20,independent,independent,1,smiling face,ほほえみ;笑顔;顔,赤らめ;閉じた目;小さな口;やわらかい;白い顔,挨拶;返信;チャット;SNS;お礼;褒める;穏やかな返事,感謝;好意;安心;やさしさ;控えめ;親しみ,嬉しい;穏やか;照れる;かわいい;あたたかい;ほっとする,微笑む;感謝する;喜ぶ,,ほほえみ;笑顔;顔;赤らめ;閉じた目;小さな口;やわらかい;白い顔;挨拶;返信;チャット;SNS;お礼;褒める;穏やかな返事;感謝;好意;安心;やさしさ;控えめ;親しみ;嬉しい;穏やか;照れる;かわいい;あたたかい;ほっとする;微笑む;喜ぶ,ほほえみ;笑顔;顔;感謝;好意;安心;やさしさ;控えめ;親しみ,挨拶;返信;チャット;SNS;お礼;褒める;穏やかな返事;微笑む;感謝する;喜ぶ,赤らめ;閉じた目;小さな口;やわらかい;白い顔;嬉しい;穏やか;照れる;かわいい;あたたかい;ほっとする,顔文字と感情;愛情の顔,,
21,😚,1F61A,kissing face with closed eyes,ちゅっ,,3,Smileys & Emotion,顔文字と感情,face-affection,愛情の顔,0.6,21,independent,independent,1,kissing face with closed eyes,ちゅっ;キス;顔,閉じた目;すぼめた口;赤らめ;黄色;やわらかい,チャット;返信;SNS;恋愛;お礼;挨拶;甘える,愛情;好意;キス;甘え;親しみ;照れ,好き;嬉しい;照れる;かわいい;やさしい,キスする;甘える;感謝する,恋愛,ちゅっ;キス;顔;閉じた目;すぼめた口;赤らめ;黄色;やわらかい;チャット;返信;SNS;恋愛;お礼;挨拶;甘える;愛情;好意;親しみ;照れ;好き;嬉しい;照れる;かわいい;やさしい;キスする;感謝する,ちゅっ;キス;顔;愛情;好意;甘え;親しみ;照れ,チャット;返信;SNS;恋愛;お礼;挨拶;甘える;キスする;感謝する,閉じた目;すぼめた口;赤らめ;黄色;やわらかい;好き;嬉しい;照れる;かわいい;やさしい,顔文字と感情;愛情の顔,,
22,😙,1F619,kissing face with smiling eyes,にっこりキス,,3,Smileys & Emotion,顔文字と感情,face-affection,愛情の顔,1,22,independent,independent,1,kissing face with smiling eyes,にっこりキス;キス;顔;笑顔,笑った目;すぼめた口;黄色;にこにこ,チャット;返信;SNS;恋愛;挨拶;お礼;軽い冗談,愛情;好意;親しみ;ごきげん;キス,好き;嬉しい;楽しい;軽い;親しい,キスする;微笑む;感謝する,恋愛,にっこりキス;キス;顔;笑顔;笑った目;すぼめた口;黄色;にこにこ;チャット;返信;SNS;恋愛;挨拶;お礼;軽い冗談;愛情;好意;親しみ;ごきげん;好き;嬉しい;楽しい;軽い;親しい;キスする;微笑む;感謝する,にっこりキス;キス;顔;笑顔;愛情;好意;親しみ;ごきげん,チャット;返信;SNS;恋愛;挨拶;お礼;軽い冗談;キスする;微笑む;感謝する,笑った目;すぼめた口;黄色;にこにこ;好き;嬉しい;楽しい;軽い;親しい,顔文字と感情;愛情の顔,,
23,🥲,1F972,smiling face with tear,嬉し涙の顔,,3,Smileys & Emotion,顔文字と感情,face-affection,愛情の顔,13,23,independent,independent,1,smiling face with tear,嬉し涙;涙の笑顔;笑顔;顔;涙,涙;しずく;小さな笑顔;黄色;片方の涙,チャット;返信;SNS;お礼;感動;別れ;達成,感謝;感動;ほろり;泣き笑い;報われる;しみじみ,嬉しい;感動;切ない;ほっとする;泣ける;ありがたい,泣く;微笑む;感謝する;耐える,,嬉し涙;涙の笑顔;笑顔;顔;涙;しずく;小さな笑顔;黄色;片方の涙;チャット;返信;SNS;お礼;感動;別れ;達成;感謝;ほろり;泣き笑い;報われる;しみじみ;嬉しい;切ない;ほっとする;泣ける;ありがたい;泣く;微笑む;耐える,嬉し涙;涙の笑顔;笑顔;顔;涙;感謝;感動;ほろり;泣き笑い;報われる;しみじみ,チャット;返信;SNS;お礼;感動;別れ;達成;泣く;微笑む;感謝する;耐える,涙;しずく;小さな笑顔;黄色;片方の涙;嬉しい;感動;切ない;ほっとする;泣ける;ありがたい,顔文字と感情;愛情の顔,,
24,😋,1F60B,face savoring food,にこにこぺろり,,3,Smileys & Emotion,顔文字と感情,face-tongue,舌を出す顔,0.6,24,independent,independent,1,face savoring food,ぺろり;舌;笑顔;顔;食べる顔,舌;笑った目;黄色;にこにこ;口,食事;料理;おやつ;チャット;SNS;感想;食べ物,おいしい;満足;食欲;ごちそう;楽しみ,嬉しい;おいしい;楽しい;満足;かわいい,食べる;味わう;舌を出す;楽しむ,グルメ,ぺろり;舌;笑顔;顔;食べる顔;笑った目;黄色;にこにこ;口;食事;料理;おやつ;チャット;SNS;感想;食べ物;おいしい;満足;食欲;ごちそう;楽しみ;嬉しい;楽しい;かわいい;食べる;味わう;舌を出す;グルメ,ぺろり;舌;笑顔;顔;食べる顔;おいしい;満足;食欲;ごちそう;楽しみ,食事;料理;おやつ;チャット;SNS;感想;食べ物;食べる;味わう;舌を出す;楽しむ;グルメ,舌;笑った目;黄色;にこにこ;口;嬉しい;おいしい;楽しい;満足;かわいい,顔文字と感情;舌を出す顔,,
25,😛,1F61B,face with tongue,舌を出した顔,,3,Smileys & Emotion,顔文字と感情,face-tongue,舌を出す顔,1,25,independent,independent,1,face with tongue,舌を出す顔;舌;顔;笑顔,舌;大きな口;丸い目;黄色;べー,チャット;返信;SNS;冗談;ふざける;軽口,おちゃらけ;いたずら;冗談;からかい;遊び心,楽しい;おちゃめ;軽い;面白い;ふざけた,舌を出す;ふざける;からかう;笑う,,舌を出す顔;舌;顔;笑顔;大きな口;丸い目;黄色;べー;チャット;返信;SNS;冗談;ふざける;軽口;おちゃらけ;いたずら;からかい;遊び心;楽しい;おちゃめ;軽い;面白い;ふざけた;舌を出す;からかう;笑う,舌を出す顔;舌;顔;笑顔;おちゃらけ;いたずら;冗談;からかい;遊び心,チャット;返信;SNS;冗談;ふざける;軽口;舌を出す;からかう;笑う,舌;大きな口;丸い目;黄色;べー;楽しい;おちゃめ;軽い;面白い;ふざけた,顔文字と感情;舌を出す顔,,
26,😜,1F61C,winking face with tongue,あっかんべー,,3,Smileys & Emotion,顔文字と感情,face-tongue,舌を出す顔,0.6,26,independent,independent,1,winking face with tongue,あっかんべー;舌;ウインク;顔,片目;舌;大きな口;黄色;ウインク,チャット;返信;SNS;冗談;からかい;軽口,いたずら;冗談;からかい;茶目っ気;遊び心,楽しい;おちゃめ;面白い;軽い;ふざけた,舌を出す;ウインクする;からかう;ふざける,,あっかんべー;舌;ウインク;顔;片目;大きな口;黄色;チャット;返信;SNS;冗談;からかい;軽口;いたずら;茶目っ気;遊び心;楽しい;おちゃめ;面白い;軽い;ふざけた;舌を出す;ウインクする;ふざける,あっかんべー;舌;ウインク;顔;いたずら;冗談;からかい;茶目っ気;遊び心,チャット;返信;SNS;冗談;からかい;軽口;舌を出す;ウインクする;からかう;ふざける,片目;舌;大きな口;黄色;ウインク;楽しい;おちゃめ;面白い;軽い;ふざけた,顔文字と感情;舌を出す顔,,
27,🤪,1F92A,zany face,ふざけた顔,,3,Smileys & Emotion,顔文字と感情,face-tongue,舌を出す顔,5,27,independent,independent,1,zany face,ふざけた顔;変顔;顔;舌,舌;片目;ゆがみ;大きな口;黄色;ぐにゃっと,チャット;返信;SNS;冗談;ネタ;ふざける;盛り上がり,変顔;狂気;ハイテンション;おふざけ;混乱;カオス,楽しい;面白い;おかしい;ハイテンション;ふざけた,ふざける;舌を出す;はしゃぐ;変顔する,ネットミーム,ふざけた顔;変顔;顔;舌;片目;ゆがみ;大きな口;黄色;ぐにゃっと;チャット;返信;SNS;冗談;ネタ;ふざける;盛り上がり;狂気;ハイテンション;おふざけ;混乱;カオス;楽しい;面白い;おかしい;舌を出す;はしゃぐ;変顔する;ネットミーム,ふざけた顔;変顔;顔;舌;狂気;ハイテンション;おふざけ;混乱;カオス,チャット;返信;SNS;冗談;ネタ;ふざける;盛り上がり;舌を出す;はしゃぐ;変顔する;ネットミーム,舌;片目;ゆがみ;大きな口;黄色;ぐにゃっと;楽しい;面白い;おかしい;ハイテンション;ふざけた,顔文字と感情;舌を出す顔,,
