abstract_ja,category,priority,expected_min,notes
誕生日,season,high,10,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低10件想定。
入学,season,medium,8,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低6件想定。
卒業,season,medium,8,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低6件想定。
朝,season,medium,8,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低6件想定。
夜,season,high,8,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低8件想定。
週末,season,medium,8,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低6件想定。
休日,season,medium,8,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低6件想定。
夏休み,season,high,8,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低8件想定。
新年,season,high,8,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低8件想定。
初春,season,medium,4,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低4件想定。
真夏,season,medium,4,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低4件想定。
晩秋,season,medium,4,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低4件想定。
真冬,season,medium,4,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低4件想定。
花見,season,medium,4,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低4件想定。
紅葉狩り,season,medium,4,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低4件想定。
節分,season,medium,4,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低4件想定。
ひな祭り,season,medium,4,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低4件想定。
こどもの日,season,medium,4,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低4件想定。
七夕,season,medium,4,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低4件想定。
お盆,season,medium,4,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低4件想定。
ホワイトデー,season,medium,4,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低4件想定。
記念日,season,medium,4,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低4件想定。
結婚記念日,season,medium,4,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低4件想定。
運動会,season,medium,4,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低4件想定。
文化祭,season,medium,4,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低4件想定。
修学旅行,season,medium,4,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低4件想定。
新学期,season,medium,4,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低4件想定。
昼,season,medium,4,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低4件想定。
夕方,season,medium,4,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低4件想定。
深夜,season,medium,4,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低4件想定。
平日,season,medium,4,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低4件想定。
連休,season,medium,4,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低4件想定。
ゴールデンウィーク,season,medium,4,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低4件想定。
冬休み,season,medium,4,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低4件想定。
年末,season,medium,4,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低4件想定。
大晦日,season,medium,4,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低4件想定。
母の日,season,medium,4,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低4件想定。
父の日,season,medium,4,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低4件想定。
成人式,season,low,2,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低2件想定。
七五三,season,low,2,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低2件想定。
夏至,season,low,2,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低2件想定。
冬至,season,low,2,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低2件想定。
彼岸,season,low,2,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低2件想定。
仕事,scene,high,8,場面・シーンの検索カバレッジ確認語。関連絵文字を最低8件想定。
会議,scene,high,8,場面・シーンの検索カバレッジ確認語。関連絵文字を最低8件想定。
リモートワーク,scene,high,3,場面・シーンの検索カバレッジ確認語。関連絵文字を最低3件想定。
勉強,scene,high,8,場面・シーンの検索カバレッジ確認語。関連絵文字を最低8件想定。
試験,scene,high,8,場面・シーンの検索カバレッジ確認語。関連絵文字を最低8件想定。
料理,scene,high,8,場面・シーンの検索カバレッジ確認語。関連絵文字を最低8件想定。
買い物,scene,high,8,場面・シーンの検索カバレッジ確認語。関連絵文字を最低8件想定。
結婚式,scene,high,8,場面・シーンの検索カバレッジ確認語。関連絵文字を最低8件想定。
旅行,scene,high,8,場面・シーンの検索カバレッジ確認語。関連絵文字を最低8件想定。
デート,scene,high,8,場面・シーンの検索カバレッジ確認語。関連絵文字を最低8件想定。
パーティー,scene,high,8,場面・シーンの検索カバレッジ確認語。関連絵文字を最低8件想定。
運動,scene,high,8,場面・シーンの検索カバレッジ確認語。関連絵文字を最低8件想定。
睡眠,scene,high,8,場面・シーンの検索カバレッジ確認語。関連絵文字を最低8件想定。
食事,scene,medium,8,場面・シーンの検索カバレッジ確認語。関連絵文字を最低6件想定。
撮影,scene,medium,8,場面・シーンの検索カバレッジ確認語。関連絵文字を最低6件想定。
プレゼン,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
面接,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
出張,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
転職,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
就活,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
退職,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
宿題,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
授業,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
研究,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
発表,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
洗濯,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
掃除,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
引越し,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
家事,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
通勤,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
通学,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
お見舞い,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
入院,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
出産,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
育児,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
飲み会,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
観光,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
外食,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
キャンプ,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
ジム,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
ダイエット,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
病気,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
風邪,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
散歩,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
お風呂,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
朝食,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
昼食,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
夕食,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
おやつ,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
ドライブ,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
待ち合わせ,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
告知,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
予約,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
配送,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
防災,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
修理,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
配信,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
支払い,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
出勤,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
帰宅,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
休憩,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
会食,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
面談,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
相談,scene,medium,4,場面・シーンの検索カバレッジ確認語。関連絵文字を最低4件想定。
葬式,scene,low,2,場面・シーンの検索カバレッジ確認語。関連絵文字を最低2件想定。
介護,scene,low,2,場面・シーンの検索カバレッジ確認語。関連絵文字を最低2件想定。
塾,scene,low,2,場面・シーンの検索カバレッジ確認語。関連絵文字を最低2件想定。
卒論,scene,low,2,場面・シーンの検索カバレッジ確認語。関連絵文字を最低2件想定。
検診,scene,low,2,場面・シーンの検索カバレッジ確認語。関連絵文字を最低2件想定。
渋滞,scene,low,2,場面・シーンの検索カバレッジ確認語。関連絵文字を最低2件想定。
避難,scene,low,2,場面・シーンの検索カバレッジ確認語。関連絵文字を最低2件想定。
ログイン,scene,low,2,場面・シーンの検索カバレッジ確認語。関連絵文字を最低2件想定。
株主総会,scene,low,2,場面・シーンの検索カバレッジ確認語。関連絵文字を最低2件想定。
確定申告,scene,low,2,場面・シーンの検索カバレッジ確認語。関連絵文字を最低2件想定。
成長,concept,high,8,抽象概念の検索カバレッジ確認語。関連絵文字を最低8件想定。
変化,concept,high,8,抽象概念の検索カバレッジ確認語。関連絵文字を最低8件想定。
成功,concept,high,8,抽象概念の検索カバレッジ確認語。関連絵文字を最低8件想定。
失敗,concept,high,8,抽象概念の検索カバレッジ確認語。関連絵文字を最低8件想定。
勝利,concept,high,8,抽象概念の検索カバレッジ確認語。関連絵文字を最低8件想定。
達成,concept,high,8,抽象概念の検索カバレッジ確認語。関連絵文字を最低8件想定。
自由,concept,high,8,抽象概念の検索カバレッジ確認語。関連絵文字を最低8件想定。
平和,concept,high,8,抽象概念の検索カバレッジ確認語。関連絵文字を最低8件想定。
夢,concept,high,8,抽象概念の検索カバレッジ確認語。関連絵文字を最低8件想定。
協力,concept,high,8,抽象概念の検索カバレッジ確認語。関連絵文字を最低8件想定。
絆,concept,high,8,抽象概念の検索カバレッジ確認語。関連絵文字を最低8件想定。
未来,concept,high,8,抽象概念の検索カバレッジ確認語。関連絵文字を最低8件想定。
思い出,concept,high,8,抽象概念の検索カバレッジ確認語。関連絵文字を最低8件想定。
ひらめき,concept,high,3,抽象概念の検索カバレッジ確認語。関連絵文字を最低3件想定。
挑戦,concept,high,8,抽象概念の検索カバレッジ確認語。関連絵文字を最低8件想定。
危険,concept,medium,8,抽象概念の検索カバレッジ確認語。関連絵文字を最低6件想定。
開始,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
終了,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
継続,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
進歩,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
復活,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
敗北,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
挫折,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
合格,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
不合格,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
平等,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
責任,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
信頼,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
誠実,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
正義,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
競争,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
対立,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
和解,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
繋がり,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
過去,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
永遠,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
瞬間,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
予定,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
計画,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
真実,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
嘘,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
秘密,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
発見,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
理解,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
発想,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
気づき,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
増加,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
減少,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
限界,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
無限,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
偶然,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
運命,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
奇跡,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
冒険,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
安全,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
禁止,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
許可,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
共有,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
保存,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
更新,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
選択,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
集中,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
混乱,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
整理,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
進化,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
可能性,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
目的,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
理由,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
結果,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
原因,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
価値,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
後退,concept,low,2,抽象概念の検索カバレッジ確認語。関連絵文字を最低2件想定。
誤解,concept,low,2,抽象概念の検索カバレッジ確認語。関連絵文字を最低2件想定。
必然,concept,low,2,抽象概念の検索カバレッジ確認語。関連絵文字を最低2件想定。
削除,concept,low,2,抽象概念の検索カバレッジ確認語。関連絵文字を最低2件想定。
革命,concept,low,2,抽象概念の検索カバレッジ確認語。関連絵文字を最低2件想定。
成熟,concept,low,2,抽象概念の検索カバレッジ確認語。関連絵文字を最低2件想定。
未熟,concept,low,2,抽象概念の検索カバレッジ確認語。関連絵文字を最低2件想定。
可逆性,concept,low,2,抽象概念の検索カバレッジ確認語。関連絵文字を最低2件想定。
矛盾,concept,low,2,抽象概念の検索カバレッジ確認語。関連絵文字を最低2件想定。
家族,relationship,high,8,人間関係の検索カバレッジ確認語。関連絵文字を最低8件想定。
親,relationship,high,8,人間関係の検索カバレッジ確認語。関連絵文字を最低8件想定。
子,relationship,high,8,人間関係の検索カバレッジ確認語。関連絵文字を最低8件想定。
夫婦,relationship,high,8,人間関係の検索カバレッジ確認語。関連絵文字を最低8件想定。
親子,relationship,high,8,人間関係の検索カバレッジ確認語。関連絵文字を最低8件想定。
友達,relationship,high,8,人間関係の検索カバレッジ確認語。関連絵文字を最低8件想定。
恋人,relationship,high,8,人間関係の検索カバレッジ確認語。関連絵文字を最低8件想定。
結婚,relationship,high,8,人間関係の検索カバレッジ確認語。関連絵文字を最低8件想定。
推し,relationship,high,8,人間関係の検索カバレッジ確認語。関連絵文字を最低8件想定。
仲間,relationship,high,8,人間関係の検索カバレッジ確認語。関連絵文字を最低8件想定。
チーム,relationship,medium,8,人間関係の検索カバレッジ確認語。関連絵文字を最低6件想定。
兄弟,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
姉妹,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
祖父母,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
孫,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
親友,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
同級生,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
先輩,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
後輩,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
先生,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
生徒,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
上司,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
部下,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
同僚,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
