id,emoji,codepoints,name_en,name_ja,category,category_ja,subcategory,subcategory_ja,unicode_version,tags_ja,scenes_ja,tone_ja,assoc_ja,en_flag,importance
11,🫠,1FAE0,melting face,溶けている顔,Smileys & Emotion,顔文字と感情,face-smiling,笑顔,14,とろける;暑い;液体;溶けそう;溶けている顔;溶ける;嬉しい報告;会話向き;元気,挨拶;雑談;会話;リアクション;お祝い,嬉しい;明るい;親しみ;前向き;感情的;素直,笑顔;嬉しい;とろける;暑い;液体;溶けそう;溶けている顔;溶ける;挨拶;雑談;会話;リアクション;嬉しい報告;お祝い;明るい;親しみ;前向き;感情的;会話向き;素直;元気,,3
12,😉,1F609,winking face,ウインク,Smileys & Emotion,顔文字と感情,face-smiling,笑顔,0.6,合図;冗談;秘密;ウィンク;ウインク;ウィンクする顔;軽い誘い;内緒話;嬉しい報告;会話向き;元気,挨拶;雑談;会話;リアクション;お祝い,親しみ;嬉しい;くだけた;軽い;明るい;前向き;感情的;素直,笑顔;合図;冗談;秘密;親しみ;嬉しい;ウィンク;ウインク;ウィンクする顔;軽い誘い;内緒話;挨拶;雑談;会話;リアクション;嬉しい報告;お祝い;くだけた;軽い;明るい;前向き;感情的;会話向き;素直;元気,,3
13,😊,1F60A,smiling face with smiling eyes,ほほえみ,Smileys & Emotion,顔文字と感情,face-smiling,笑顔,0.6,安心;照れ;スマイル;にこにこ;微笑み;満足;目を細める;頬を赤らめる;穏やかな返事;嬉しい報告;会話向き;元気,お礼;挨拶;雑談;会話;リアクション;お祝い,嬉しい;やさしい;かわいい;穏やか;明るい;親しみ;前向き;感情的;素直,笑顔;嬉しい;安心;照れ;やさしい;スマイル;にこにこ;微笑み;満足;目を細める;頬を赤らめる;お礼;挨拶;穏やかな返事;雑談;会話;リアクション;嬉しい報告;お祝い;かわいい;穏やか;明るい;親しみ;前向き;感情的;会話向き;素直;元気,,3
14,😇,1F607,smiling face with halo,天使の輪がついた笑顔,Smileys & Emotion,顔文字と感情,face-smiling,笑顔,1,スマイル;ハッピー;天使の輪;天使の輪がついた笑顔;平和;嬉しい報告;会話向き;元気,挨拶;雑談;会話;リアクション;お祝い,嬉しい;明るい;親しみ;前向き;感情的;素直,笑顔;嬉しい;スマイル;ハッピー;天使の輪;天使の輪がついた笑顔;平和;挨拶;雑談;会話;リアクション;嬉しい報告;お祝い;明るい;親しみ;前向き;感情的;会話向き;素直;元気,,3
15,🥰,1F970,smiling face with hearts,ハートに囲まれた笑顔,Smileys & Emotion,顔文字と感情,face-affection,愛情の顔,11,好き;愛;幸せ;感謝;ハート;ハートの笑顔;メロメロ;ラブ;夢中;愛してる;愛情表現;共感;好意;会話向き;優しい,お礼;推し活;挨拶;雑談;会話;リアクション,かわいい;やさしい;温かい;明るい;親しみ;感情的,好き;愛;幸せ;かわいい;感謝;笑顔;ハート;ハートの笑顔;メロメロ;ラブ;夢中;愛してる;お礼;愛情表現;推し活;挨拶;雑談;会話;リアクション;共感;やさしい;温かい;好意;明るい;親しみ;感情的;会話向き;優しい,,3
16,😍,1F60D,smiling face with heart-eyes,ハート目の笑顔,Smileys & Emotion,顔文字と感情,face-affection,愛情の顔,0.6,好き;愛;推し;ハート;スマイル;ラブ;大好き;目がハートの笑顔;褒める;感動;愛情表現;共感;好意;優しい,推し活;お礼;挨拶;雑談;会話;リアクション,かわいい;嬉しい;強い;温かい;やさしい;明るい;前向き;親しみ;感情的,好き;愛;かわいい;嬉しい;推し;笑顔;ハート;スマイル;ラブ;大好き;目がハートの笑顔;褒める;推し活;感動;愛情表現;お礼;挨拶;雑談;会話;リアクション;共感;強い;好意;温かい;やさしい;明るい;前向き;親しみ;優しい;感情的,,3
17,🤩,1F929,star-struck,目が星の笑顔,Smileys & Emotion,顔文字と感情,face-affection,愛情の顔,5,好き;愛;星;きらきら;スマイル;わーい;目が星の笑顔;愛情表現;共感;好意;会話向き;優しい,お礼;挨拶;雑談;会話;リアクション;推し活,かわいい;温かい;やさしい;明るい;親しみ;感情的,好き;愛;かわいい;星;きらきら;スマイル;わーい;目が星の笑顔;笑顔;愛情表現;お礼;挨拶;雑談;会話;リアクション;推し活;共感;温かい;好意;やさしい;明るい;親しみ;感情的;会話向き;優しい,,3
18,😘,1F618,face blowing a kiss,投げキッス,Smileys & Emotion,顔文字と感情,face-affection,愛情の顔,0.6,好き;愛;キス;ちゅっ;ハート;投げキッス;愛情表現;共感;好意;会話向き;優しい,お礼;会話;リアクション;推し活;挨拶;雑談,かわいい;温かい;やさしい;感情的;明るい;親しみ,好き;愛;かわいい;キス;ちゅっ;ハート;投げキッス;愛情表現;お礼;会話;リアクション;推し活;挨拶;雑談;共感;温かい;好意;やさしい;感情的;会話向き;優しい;明るい;親しみ,,3
19,😗,1F617,kissing face,キス,Smileys & Emotion,顔文字と感情,face-affection,愛情の顔,1,好き;愛;キス;ちゅっ;愛情表現;共感;好意;会話向き;優しい,デート;お礼;会話;リアクション;推し活;挨拶;雑談,かわいい;温かい;やさしい;感情的;明るい;親しみ,好き;愛;かわいい;キス;ちゅっ;デート;愛情表現;お礼;会話;リアクション;推し活;挨拶;雑談;共感;温かい;好意;やさしい;感情的;会話向き;優しい;明るい;親しみ,,3
20,☺️,263A FE0F,smiling face,ほほえみ,Smileys & Emotion,顔文字と感情,face-affection,愛情の顔,0.6,好き;愛;愛情表現;共感;好意;会話向き;優しい,お礼;挨拶;雑談;会話;リアクション;推し活,かわいい;温かい;やさしい;明るい;親しみ;感情的,好き;愛;かわいい;笑顔;愛情表現;お礼;挨拶;雑談;会話;リアクション;推し活;共感;温かい;好意;やさしい;明るい;親しみ;感情的;会話向き;優しい,,3
21,😚,1F61A,kissing face with closed eyes,ちゅっ,Smileys & Emotion,顔文字と感情,face-affection,愛情の顔,0.6,好き;愛;キス;ちゅっ;目を閉じてキス;目を閉じる;愛情表現;共感;好意;会話向き;優しい,デート;お礼;会話;リアクション;推し活;挨拶;雑談,かわいい;温かい;やさしい;感情的;明るい;親しみ,好き;愛;かわいい;キス;ちゅっ;デート;目を閉じてキス;目を閉じる;愛情表現;お礼;会話;リアクション;推し活;挨拶;雑談;共感;温かい;好意;やさしい;感情的;会話向き;優しい;明るい;親しみ,,3
22,😙,1F619,kissing face with smiling eyes,にっこりキス,Smileys & Emotion,顔文字と感情,face-affection,愛情の顔,1,好き;愛;キス;スマイル;ちゅっ;にっこりキス;愛情表現;共感;好意;会話向き;優しい,お礼;挨拶;雑談;会話;リアクション;推し活,かわいい;温かい;やさしい;明るい;親しみ;感情的,好き;愛;かわいい;笑顔;キス;スマイル;ちゅっ;にっこりキス;愛情表現;お礼;挨拶;雑談;会話;リアクション;推し活;共感;温かい;好意;やさしい;明るい;親しみ;感情的;会話向き;優しい,,3
23,🥲,1F972,smiling face with tear,嬉し涙の顔,Smileys & Emotion,顔文字と感情,face-affection,愛情の顔,13,好き;愛;涙;じーん;嬉し涙の顔;感動;感激;泣く;愛情表現;悲報;共感;好意;優しい,お礼;挨拶;雑談;会話;リアクション;推し活,かわいい;温かい;やさしい;明るい;親しみ;感情的;素直,好き;愛;かわいい;笑顔;涙;じーん;嬉し涙の顔;感動;感激;泣く;愛情表現;お礼;挨拶;雑談;悲報;共感;会話;リアクション;推し活;温かい;好意;やさしい;明るい;親しみ;感情的;素直;優しい,,3
24,😋,1F60B,face savoring food,にこにこぺろり,Smileys & Emotion,顔文字と感情,face-tongue,舌を出す顔,0.6,冗談;うまい;おいしい;おいしそう;スマイル;にこにこぺろり;ぺろり;腹ぺこ;会話向き,挨拶;雑談;会話;リアクション,楽しい;明るい;親しみ;感情的,冗談;楽しい;うまい;おいしい;おいしそう;スマイル;にこにこぺろり;ぺろり;笑顔;腹ぺこ;挨拶;雑談;会話;リアクション;明るい;親しみ;感情的;会話向き,,3
25,😛,1F61B,face with tongue,舌を出した顔,Smileys & Emotion,顔文字と感情,face-tongue,舌を出す顔,1,冗談;べー;べろ;甘い;舌;舌を出した顔;会話向き,会話;リアクション,楽しい;感情的,冗談;楽しい;べー;べろ;甘い;舌;舌を出した顔;会話;リアクション;感情的;会話向き,,3
26,😜,1F61C,winking face with tongue,あっかんべー,Smileys & Emotion,顔文字と感情,face-tongue,舌を出す顔,0.6,冗談;あっかんべー;ウィンク;ジョーク;べー;舌;会話向き,会話;リアクション,楽しい;感情的,冗談;楽しい;あっかんべー;ウィンク;ジョーク;べー;舌;会話;リアクション;感情的;会話向き,,3
27,🤪,1F92A,zany face,ふざけた顔,Smileys & Emotion,顔文字と感情,face-tongue,舌を出す顔,5,冗談;おかしい;ジョーク;ふざけ;ふざけた顔;会話向き,会話;リアクション,楽しい;感情的,冗談;楽しい;おかしい;ジョーク;ふざけ;ふざけた顔;会話;リアクション;感情的;会話向き,,3
28,😝,1F61D,squinting face with tongue,目を閉じてべー,Smileys & Emotion,顔文字と感情,face-tongue,舌を出す顔,0.6,冗談;べー;べろ;わーい;味見;目を閉じてべー;舌;会話向き,会話;リアクション,楽しい;感情的,冗談;楽しい;べー;べろ;わーい;味見;目を閉じてべー;舌;会話;リアクション;感情的;会話向き,,3
29,🤑,1F911,money-mouth face,お金の顔,Smileys & Emotion,顔文字と感情,face-tongue,舌を出す顔,1,冗談;お金;お金の顔;べー;べろ;舌;会話向き,会話;リアクション,楽しい;感情的,冗談;楽しい;お金;お金の顔;べー;べろ;舌;会話;リアクション;感情的;会話向き,,3
30,🤗,1F917,smiling face with open hands,ハグ,Smileys & Emotion,顔文字と感情,face-hand,手のある顔,1,スマイル;ハグ;会話向き,挨拶;雑談;会話;リアクション,明るい;親しみ;感情的,笑顔;スマイル;ハグ;挨拶;雑談;会話;リアクション;明るい;親しみ;感情的;会話向き,,3
31,🤭,1F92D,face with hand over mouth,口に手を当てた顔,Smileys & Emotion,顔文字と感情,face-hand,手のある顔,5,おっと;クスクス;スマイル;内緒;口に手を当てた顔;会話向き,挨拶;雑談;会話;リアクション,明るい;親しみ;感情的,おっと;クスクス;スマイル;内緒;口に手を当てた顔;笑顔;挨拶;雑談;会話;リアクション;明るい;親しみ;感情的;会話向き,,3
32,🫢,1FAE2,face with open eyes and hand over mouth,目を開けて口に手を当てた顔,Smileys & Emotion,顔文字と感情,face-hand,手のある顔,14,おそれ;おののき;びっくり;目を開けて口に手を当てた顔;静かに;驚き;会話向き,会話;リアクション,感情的,おそれ;おののき;びっくり;目を開けて口に手を当てた顔;静かに;驚き;会話;リアクション;感情的;会話向き,,3
33,🫣,1FAE3,face with peeking eye,指の間からのぞき見る顔,Smileys & Emotion,顔文字と感情,face-hand,手のある顔,14,こわごわ;ちらっ;のぞき見;指の間からのぞき見る顔;盗み見;会話向き,会話;リアクション,感情的,こわごわ;ちらっ;のぞき見;指の間からのぞき見る顔;盗み見;会話;リアクション;感情的;会話向き,,3
34,🤫,1F92B,shushing face,しーっ,Smileys & Emotion,顔文字と感情,face-hand,手のある顔,5,しー;しーっ;シーッ;しっ;静かに;会話向き,会話;リアクション,感情的,しー;しーっ;シーッ;しっ;静かに;会話;リアクション;感情的;会話向き,,3
35,🤔,1F914,thinking face,考える顔,Smileys & Emotion,顔文字と感情,face-hand,手のある顔,1,うーん;考える;考える顔;考え中;顎に手;会話向き,会話;リアクション,感情的,うーん;考える;考える顔;考え中;顎に手;会話;リアクション;感情的;会話向き,,3
36,🫡,1FAE1,saluting face,敬礼する顔,Smileys & Emotion,顔文字と感情,face-hand,手のある顔,14,オーケー;了解;敬礼;敬礼する顔;軍隊;会話向き,会話;リアクション,感情的,オーケー;了解;敬礼;敬礼する顔;軍隊;会話;リアクション;感情的;会話向き,,3
37,🤐,1F910,zipper-mouth face,口チャック,Smileys & Emotion,顔文字と感情,face-neutral-skeptical,中立・疑いの顔,1,考える;チャック;内緒;口;口チャック;秘密;会話向き,会話;リアクション,中立;感情的,中立;考える;チャック;内緒;口;口チャック;秘密;会話;リアクション;感情的;会話向き,,3
38,🤨,1F928,face with raised eyebrow,眉を上げた顔,Smileys & Emotion,顔文字と感情,face-neutral-skeptical,中立・疑いの顔,5,考える;不審;疑い;眉を上げた顔;驚き;会話向き,会話;リアクション,中立;感情的,中立;考える;不審;疑い;眉を上げた顔;驚き;会話;リアクション;感情的;会話向き,,3
39,😐,1F610,neutral face,ポーカーフェイス,Smileys & Emotion,顔文字と感情,face-neutral-skeptical,中立・疑いの顔,0.7,考える;ポーカーフェイス;無表情;笑えない;会話向き,会話;リアクション,中立;感情的,中立;考える;ポーカーフェイス;無表情;笑えない;会話;リアクション;感情的;会話向き,,3
40,😑,1F611,expressionless face,無表情,Smileys & Emotion,顔文字と感情,face-neutral-skeptical,中立・疑いの顔,1,考える;ふーん;やきもち;無感情;無表情;会話向き,会話;リアクション,中立;感情的,中立;考える;ふーん;やきもち;無感情;無表情;会話;リアクション;感情的;会話向き,,3
41,😶,1F636,face without mouth,口のない顔,Smileys & Emotion,顔文字と感情,face-neutral-skeptical,中立・疑いの顔,1,考える;だんまり;口なし;口のない顔;沈黙;無表情;無言;会話向き,会話;リアクション,中立;感情的,中立;考える;だんまり;口なし;口のない顔;沈黙;無表情;無言;会話;リアクション;感情的;会話向き,,3
42,🫥,1FAE5,dotted line face,点線の顔,Smileys & Emotion,顔文字と感情,face-neutral-skeptical,中立・疑いの顔,14,考える;どうでもいい;ふーん;内向的;内気;憂鬱;点線の顔;落胆;会話向き,会話;リアクション,中立;感情的,中立;考える;どうでもいい;ふーん;内向的;内気;憂鬱;点線の顔;落胆;会話;リアクション;感情的;会話向き,,3
43,😶‍🌫️,1F636 200D 1F32B FE0F,face in clouds,雲の中の顔,Smileys & Emotion,顔文字と感情,face-neutral-skeptical,中立・疑いの顔,13.1,考える;会話向き,会話;リアクション,中立;感情的,中立;考える;会話;リアクション;感情的;会話向き,,3
44,😏,1F60F,smirking face,薄笑いをする顔,Smileys & Emotion,顔文字と感情,face-neutral-skeptical,中立・疑いの顔,0.6,考える;にやり;ふっ;薄笑いをする顔;会話向き,会話;リアクション,中立;感情的,中立;考える;にやり;ふっ;薄笑いをする顔;会話;リアクション;感情的;会話向き,,3
45,😒,1F612,unamused face,しらけた,Smileys & Emotion,顔文字と感情,face-neutral-skeptical,中立・疑いの顔,0.6,考える;ジト目;しらけ;しらけた;しらける;つまらない;やきもち;不満;会話向き,会話;リアクション,中立;感情的,中立;考える;ジト目;しらけ;しらけた;しらける;つまらない;やきもち;不満;会話;リアクション;感情的;会話向き,,3
46,🙄,1F644,face with rolling eyes,上を見る顔,Smileys & Emotion,顔文字と感情,face-neutral-skeptical,中立・疑いの顔,1,考える;あきれた;うーん;上を見る顔;上目;目をむく;会話向き,会話;リアクション,中立;感情的,中立;考える;あきれた;うーん;上を見る顔;上目;目をむく;会話;リアクション;感情的;会話向き,,3
47,😬,1F62C,grimacing face,しかめ面,Smileys & Emotion,顔文字と感情,face-neutral-skeptical,中立・疑いの顔,1,考える;いー;しかめっ面;しかめ面;しかめ顔;会話向き,会話;リアクション,中立;感情的,中立;考える;いー;しかめっ面;しかめ面;しかめ顔;会話;リアクション;感情的;会話向き,,3
48,😮‍💨,1F62E 200D 1F4A8,face exhaling,息を吐く顔,Smileys & Emotion,顔文字と感情,face-neutral-skeptical,中立・疑いの顔,13.1,考える;あきらめ;ため息;ほっとした;安心;息を吐く顔;息切れ;疲れた;会話向き,会話;リアクション,中立;感情的,中立;考える;あきらめ;ため息;ほっとした;安心;息を吐く顔;息切れ;疲れた;会話;リアクション;感情的;会話向き,,3
49,🤥,1F925,lying face,うそつきの顔,Smileys & Emotion,顔文字と感情,face-neutral-skeptical,中立・疑いの顔,3,考える;うそつきの顔;ピノキオの顔;嘘;嘘つき;会話向き,会話;リアクション,中立;感情的,中立;考える;うそつきの顔;ピノキオの顔;嘘;嘘つき;会話;リアクション;感情的;会話向き,,3
50,🫨,1FAE8,shaking face,震えている顔,Smileys & Emotion,顔文字と感情,face-neutral-skeptical,中立・疑いの顔,15,考える;ガーン;ショック;なんてこった;パニック;ビックリ;まいった;地震;振動;震えている;会話向き,会話;リアクション,中立;感情的,中立;考える;ガーン;ショック;なんてこった;パニック;ビックリ;まいった;地震;振動;震えている;会話;リアクション;感情的;会話向き,,3
51,🙂‍↔️,1F642 200D 2194 FE0F,head shaking horizontally,首を横に振る顔,Smileys & Emotion,顔文字と感情,face-neutral-skeptical,中立・疑いの顔,15.1,考える;会話向き,会話;リアクション,中立;感情的,中立;考える;会話;リアクション;感情的;会話向き,,2
52,🙂‍↕️,1F642 200D 2195 FE0F,head shaking vertically,うなずく顔,Smileys & Emotion,顔文字と感情,face-neutral-skeptical,中立・疑いの顔,15.1,考える;会話向き,会話;リアクション,中立;感情的,中立;考える;会話;リアクション;感情的;会話向き,,2
53,😌,1F60C,relieved face,ほっとした顔,Smileys & Emotion,顔文字と感情,face-sleepy,眠い顔,0.6,眠い;疲れ;ほっ;ほっとした顔;安心;疲れた;会話向き,会話;リアクション;寝る前;深夜;休憩;退勤;仕事終わり,感情的;静か;ゆるい;けだるい;リラックス;穏やか;無気力,眠い;疲れ;ほっ;ほっとした顔;安心;会話;リアクション;寝る前;深夜;疲れた;休憩;退勤;仕事終わり;感情的;会話向き;静か;ゆるい;けだるい;リラックス;穏やか;無気力,,3
54,😔,1F614,pensive face,しょぼーん,Smileys & Emotion,顔文字と感情,face-sleepy,眠い顔,0.6,眠い;疲れ;がっかり;しょぼーん;しょんぼり;考え込む顔;別れ;失敗;疲れた;弱い;会話向き,会話;リアクション;寝る前;深夜;休憩;退勤;仕事終わり,悲しい;しんみり;感情的;静か;ゆるい;けだるい;リラックス;穏やか;無気力,眠い;疲れ;がっかり;しょぼーん;しょんぼり;悲しい;考え込む顔;別れ;失敗;会話;リアクション;寝る前;深夜;疲れた;休憩;退勤;仕事終わり;しんみり;弱い;感情的;会話向き;静か;ゆるい;けだるい;リラックス;穏やか;無気力,,3
55,😪,1F62A,sleepy face,眠い,Smileys & Emotion,顔文字と感情,face-sleepy,眠い顔,0.6,眠い;疲れ;寝る;疲れた;眠そうな顔;眠っている顔;眠る;会話向き,会話;リアクション;寝る前;深夜;休憩;退勤;仕事終わり,感情的;静か;ゆるい;けだるい;リラックス;穏やか;無気力,眠い;疲れ;寝る;疲れた;眠そうな顔;眠っている顔;眠る;会話;リアクション;寝る前;深夜;休憩;退勤;仕事終わり;感情的;会話向き;静か;ゆるい;けだるい;リラックス;穏やか;無気力,,3
56,🤤,1F924,drooling face,よだれを垂らした顔,Smileys & Emotion,顔文字と感情,face-sleepy,眠い顔,3,眠い;疲れ;よだれ;よだれを垂らした顔;疲れた;会話向き,会話;リアクション;寝る前;深夜;休憩;退勤;仕事終わり,感情的;静か;ゆるい;けだるい;リラックス;穏やか;無気力,眠い;疲れ;よだれ;よだれを垂らした顔;会話;リアクション;寝る前;深夜;疲れた;休憩;退勤;仕事終わり;感情的;会話向き;静か;ゆるい;けだるい;リラックス;穏やか;無気力,,3
57,😴,1F634,sleeping face,寝る,Smileys & Emotion,顔文字と感情,face-sleepy,眠い顔,1,眠い;疲れ;zzz;おやすみ;グーグー;寝る;寝顔;眠る;疲れた;会話向き,会話;リアクション;寝る前;深夜;休憩;退勤;仕事終わり,感情的;静か;ゆるい;けだるい;リラックス;穏やか;無気力,眠い;疲れ;zzz;おやすみ;グーグー;寝る;寝顔;眠る;会話;リアクション;寝る前;深夜;疲れた;休憩;退勤;仕事終わり;感情的;会話向き;静か;ゆるい;けだるい;リラックス;穏やか;無気力,,3
58,🫩,1FAE9,face with bags under eyes,目にクマがある顔,Smileys & Emotion,顔文字と感情,face-sleepy,眠い顔,16,眠い;疲れ;クマ;徹夜;疲れた;会話向き,会話;リアクション;寝る前;深夜;休憩;退勤;仕事終わり,感情的;静か;ゆるい;けだるい;リラックス;穏やか;無気力,眠い;疲れ;クマ;徹夜;疲れた;会話;リアクション;寝る前;深夜;休憩;退勤;仕事終わり;感情的;会話向き;静か;ゆるい;けだるい;リラックス;穏やか;無気力,,3
59,😷,1F637,face with medical mask,マスク顔,Smileys & Emotion,顔文字と感情,face-unwell,体調の悪い顔,0.6,体調;つらい;ドクター;マスク;マスク顔;医師;歯科医;病気;花粉症;風邪;欠席;遅刻;疲れ;会話向き;弱い;不調;辛い,会話;リアクション;体調不良;看病;病院,感情的;暗い,体調;つらい;ドクター;マスク;マスク顔;医師;歯科医;病気;花粉症;風邪;会話;リアクション;体調不良;看病;病院;欠席;遅刻;疲れ;感情的;会話向き;弱い;不調;辛い;暗い,,3
60,🤒,1F912,face with thermometer,熱がある顔,Smileys & Emotion,顔文字と感情,face-unwell,体調の悪い顔,1,体調;つらい;体温計;熱がある顔;熱を測る;病気;風邪;欠席;遅刻;疲れ;会話向き;弱い;不調;辛い,会話;リアクション;体調不良;看病;病院,感情的;暗い,体調;つらい;体温計;熱がある顔;熱を測る;病気;風邪;会話;リアクション;体調不良;看病;病院;欠席;遅刻;疲れ;感情的;会話向き;弱い;不調;辛い;暗い,,3
61,🤕,1F915,face with head-bandage,包帯を巻いた顔,Smileys & Emotion,顔文字と感情,face-unwell,体調の悪い顔,1,体調;つらい;ケガ;ケガしてる顔;包帯;包帯を巻いた顔;痛い;欠席;遅刻;疲れ;会話向き;弱い;不調;辛い,会話;リアクション;体調不良;看病;病院,感情的;暗い,体調;つらい;ケガ;ケガしてる顔;包帯;包帯を巻いた顔;痛い;会話;リアクション;体調不良;看病;病院;欠席;遅刻;疲れ;感情的;会話向き;弱い;不調;辛い;暗い,,3
