id,emoji,codepoints,name_en,name_ja,category,category_ja,subcategory,subcategory_ja,unicode_version,importance,direct_ja,visual_ja,context_ja,symbolic_ja,emotion_ja,action_ja,culture_ja,search_ja,abstract_group_id,abstract_group_role,abstract_variant_kind,abstract_is_source,abstract_group_key
11,🫠,1FAE0,melting face,溶けている顔,Smileys & Emotion,顔文字と感情,face-smiling,笑顔,14,3,溶ける顔;顔;笑顔,溶ける;液体;崩れる;黄色;とろける,チャット;返信;雑談;SNS;暑い日;疲れた時;気まずい時,限界;暑さ;疲労;照れ;気まずさ;崩壊,暑い;疲れた;恥ずかしい;気まずい;へとへと;とろける,溶ける;崩れる;照れる;耐える,ネット表現,溶ける顔;顔;笑顔;溶ける;液体;崩れる;黄色;とろける;チャット;返信;雑談;SNS;暑い日;疲れた時;気まずい時;限界;暑さ;疲労;照れ;気まずさ;崩壊;暑い;疲れた;恥ずかしい;へとへと;耐える;ネット表現;挫折,11,independent,independent,1,melting face
12,😉,1F609,winking face,ウインク,Smileys & Emotion,顔文字と感情,face-smiling,笑顔,0.6,3,ウインク;顔;笑顔,片目;閉じた目;にっこり;黄色;片目を閉じる,チャット;返信;雑談;SNS;冗談;合図;内緒,合図;秘密;冗談;親しみ;いたずら;含み,楽しい;親しい;軽い;おちゃめ;かわいい,ウインクする;合図する;からかう,,ウインク;顔;笑顔;片目;閉じた目;にっこり;黄色;片目を閉じる;チャット;返信;雑談;SNS;冗談;合図;内緒;秘密;親しみ;いたずら;含み;楽しい;親しい;軽い;おちゃめ;かわいい;ウインクする;からかう,12,independent,independent,1,winking face
13,😊,1F60A,smiling face with smiling eyes,ほほえみ,Smileys & Emotion,顔文字と感情,face-smiling,笑顔,0.6,3,ほほえみ;笑顔;顔,赤らめ;笑った目;小さな口;黄色;やわらかい,挨拶;返信;チャット;雑談;SNS;お礼;褒める,感謝;好意;やさしさ;安心;親しみ,嬉しい;やさしい;穏やか;かわいい;照れる;あたたかい,微笑む;感謝する;喜ぶ,,ほほえみ;笑顔;顔;赤らめ;笑った目;小さな口;黄色;やわらかい;挨拶;返信;チャット;雑談;SNS;お礼;褒める;感謝;好意;やさしさ;安心;親しみ;嬉しい;やさしい;穏やか;かわいい;照れる;あたたかい;微笑む;感謝する;喜ぶ;ありがとう;友達;友達関係;青春;お疲れ様;おめでとう;親友,13,independent,independent,1,smiling face with smiling eyes
14,😇,1F607,smiling face with halo,天使の輪がついた笑顔,Smileys & Emotion,顔文字と感情,face-smiling,笑顔,1,3,天使の笑顔;天使;顔;笑顔;輪,天使の輪;丸い輪;笑った目;黄色;頭上,チャット;返信;雑談;SNS;お礼;謝る;よいこと,善意;無邪気;いい子;清らか;許し;純粋;天国,嬉しい;穏やか;安心;かわいい;すました,微笑む;許す;感謝する,天使;宗教;天国,天使の笑顔;天使;顔;笑顔;輪;天使の輪;丸い輪;笑った目;黄色;頭上;チャット;返信;雑談;SNS;お礼;謝る;よいこと;善意;無邪気;いい子;清らか;許し;純粋;天国;嬉しい;穏やか;安心;かわいい;すました;微笑む;許す;感謝する;宗教,14,independent,independent,1,smiling face with halo
15,🥰,1F970,smiling face with hearts,ハートに囲まれた笑顔,Smileys & Emotion,顔文字と感情,face-affection,愛情の顔,11,3,ハートの笑顔;笑顔;顔;ハート,ハート;赤いハート;笑った目;黄色;頬,チャット;返信;SNS;恋愛;お礼;褒める;推し活,愛情;好意;大好き;感謝;幸せ;親しみ;ときめき,嬉しい;幸せ;かわいい;あたたかい;照れる;ほっこり,喜ぶ;感謝する;褒める;好きと伝える,恋愛;推し活,ハートの笑顔;笑顔;顔;ハート;赤いハート;笑った目;黄色;頬;チャット;返信;SNS;恋愛;お礼;褒める;推し活;愛情;好意;大好き;感謝;幸せ;親しみ;ときめき;嬉しい;かわいい;あたたかい;照れる;ほっこり;喜ぶ;好きと伝える;尊い;恋人;推し;きゅん;どきどき;共感;両思い;彼氏;彼女;再会,15,independent,independent,1,smiling face with hearts
16,😍,1F60D,smiling face with heart-eyes,ハート目の笑顔,Smileys & Emotion,顔文字と感情,face-affection,愛情の顔,0.6,3,ハート目;笑顔;顔;ハート,ハートの目;赤い目;大きな口;黄色;うっとり,チャット;返信;SNS;恋愛;推し活;褒める;欲しい物,一目惚れ;大好き;憧れ;夢中;推し;魅力,嬉しい;好き;かわいい;うっとり;興奮;ときめく,見とれる;好きになる;褒める;惚れる,恋愛;推し活,ハート目;笑顔;顔;ハート;ハートの目;赤い目;大きな口;黄色;うっとり;チャット;返信;SNS;恋愛;推し活;褒める;欲しい物;一目惚れ;大好き;憧れ;夢中;推し;魅力;嬉しい;好き;かわいい;興奮;ときめく;見とれる;惚れる,16,independent,independent,1,smiling face with heart-eyes
17,🤩,1F929,star-struck,目が星の笑顔,Smileys & Emotion,顔文字と感情,face-affection,愛情の顔,5,3,星の目;笑顔;顔;星,星;星形の目;大きな口;黄色;きらきら,チャット;返信;SNS;推し活;発表;成功;期待,憧れ;スター;期待;感動;輝き;大興奮;注目,嬉しい;わくわく;興奮;感動;楽しい;きらきら,感動する;期待する;注目する;喜ぶ,推し活;スター;エンタメ,星の目;笑顔;顔;星;星形の目;大きな口;黄色;きらきら;チャット;返信;SNS;推し活;発表;成功;期待;憧れ;スター;感動;輝き;大興奮;注目;嬉しい;わくわく;興奮;楽しい;感動する;期待する;エンタメ;尊い;おめでとう;すごい;推し;きゅん;どきどき;エモい;興味;やばい;ファン;派手;高級;盛れる;上手;希望,17,independent,independent,1,star-struck
18,😘,1F618,face blowing a kiss,投げキッス,Smileys & Emotion,顔文字と感情,face-affection,愛情の顔,0.6,3,投げキッス;キス;顔;ハート,片目;ウインク;くちびる;ハート;黄色,チャット;返信;SNS;恋愛;挨拶;お礼;別れ際,愛情;好意;キス;親しみ;かわいげ;サービス,好き;嬉しい;かわいい;照れる;親しい,キスする;投げキッスする;ウインクする;感謝する,恋愛,投げキッス;キス;顔;ハート;片目;ウインク;くちびる;黄色;チャット;返信;SNS;恋愛;挨拶;お礼;別れ際;愛情;好意;親しみ;かわいげ;サービス;好き;嬉しい;かわいい;照れる;親しい;キスする;投げキッスする;感謝する,18,independent,independent,1,face blowing a kiss
19,😗,1F617,kissing face,キス,Smileys & Emotion,顔文字と感情,face-affection,愛情の顔,1,3,キス;顔;口をすぼめる,丸い口;すぼめた口;丸い目;黄色;無表情,チャット;返信;SNS;恋愛;挨拶;軽い返事,キス;口笛;すまし顔;さりげない好意,好き;照れる;平気;すました;軽い,キスする;口をすぼめる;口笛を吹く,恋愛,キス;顔;口をすぼめる;丸い口;すぼめた口;丸い目;黄色;無表情;チャット;返信;SNS;恋愛;挨拶;軽い返事;口笛;すまし顔;さりげない好意;好き;照れる;平気;すました;軽い;キスする;口笛を吹く,19,independent,independent,1,kissing face
20,☺️,263A FE0F,smiling face,ほほえみ,Smileys & Emotion,顔文字と感情,face-affection,愛情の顔,0.6,3,ほほえみ;笑顔;顔,赤らめ;閉じた目;小さな口;やわらかい;白い顔,挨拶;返信;チャット;SNS;お礼;褒める;穏やかな返事,感謝;好意;安心;やさしさ;控えめ;親しみ,嬉しい;穏やか;照れる;かわいい;あたたかい;ほっとする,微笑む;感謝する;喜ぶ,,ほほえみ;笑顔;顔;赤らめ;閉じた目;小さな口;やわらかい;白い顔;挨拶;返信;チャット;SNS;お礼;褒める;穏やかな返事;感謝;好意;安心;やさしさ;控えめ;親しみ;嬉しい;穏やか;照れる;かわいい;あたたかい;ほっとする;微笑む;喜ぶ,20,independent,independent,1,smiling face
21,😚,1F61A,kissing face with closed eyes,ちゅっ,Smileys & Emotion,顔文字と感情,face-affection,愛情の顔,0.6,3,ちゅっ;キス;顔,閉じた目;すぼめた口;赤らめ;黄色;やわらかい,チャット;返信;SNS;恋愛;お礼;挨拶;甘える,愛情;好意;キス;甘え;親しみ;照れ,好き;嬉しい;照れる;かわいい;やさしい,キスする;甘える;感謝する,恋愛,ちゅっ;キス;顔;閉じた目;すぼめた口;赤らめ;黄色;やわらかい;チャット;返信;SNS;恋愛;お礼;挨拶;甘える;愛情;好意;親しみ;照れ;好き;嬉しい;照れる;かわいい;やさしい;キスする;感謝する,21,independent,independent,1,kissing face with closed eyes
22,😙,1F619,kissing face with smiling eyes,にっこりキス,Smileys & Emotion,顔文字と感情,face-affection,愛情の顔,1,3,にっこりキス;キス;顔;笑顔,笑った目;すぼめた口;黄色;にこにこ,チャット;返信;SNS;恋愛;挨拶;お礼;軽い冗談,愛情;好意;親しみ;ごきげん;キス,好き;嬉しい;楽しい;軽い;親しい,キスする;微笑む;感謝する,恋愛,にっこりキス;キス;顔;笑顔;笑った目;すぼめた口;黄色;にこにこ;チャット;返信;SNS;恋愛;挨拶;お礼;軽い冗談;愛情;好意;親しみ;ごきげん;好き;嬉しい;楽しい;軽い;親しい;キスする;微笑む;感謝する,22,independent,independent,1,kissing face with smiling eyes
23,🥲,1F972,smiling face with tear,嬉し涙の顔,Smileys & Emotion,顔文字と感情,face-affection,愛情の顔,13,3,嬉し涙;涙の笑顔;笑顔;顔;涙,涙;しずく;小さな笑顔;黄色;片方の涙,チャット;返信;SNS;お礼;感動;別れ;達成,感謝;感動;ほろり;泣き笑い;報われる;しみじみ,嬉しい;感動;切ない;ほっとする;泣ける;ありがたい,泣く;微笑む;感謝する;耐える,,嬉し涙;涙の笑顔;笑顔;顔;涙;しずく;小さな笑顔;黄色;片方の涙;チャット;返信;SNS;お礼;感動;別れ;達成;感謝;ほろり;泣き笑い;報われる;しみじみ;嬉しい;切ない;ほっとする;泣ける;ありがたい;泣く;微笑む;耐える;ぼっち,23,independent,independent,1,smiling face with tear
24,😋,1F60B,face savoring food,にこにこぺろり,Smileys & Emotion,顔文字と感情,face-tongue,舌を出す顔,0.6,3,ぺろり;舌;笑顔;顔;食べる顔,舌;笑った目;黄色;にこにこ;口,食事;料理;おやつ;チャット;SNS;感想;食べ物,おいしい;満足;食欲;ごちそう;楽しみ,嬉しい;おいしい;楽しい;満足;かわいい,食べる;味わう;舌を出す;楽しむ,グルメ,ぺろり;舌;笑顔;顔;食べる顔;笑った目;黄色;にこにこ;口;食事;料理;おやつ;チャット;SNS;感想;食べ物;おいしい;満足;食欲;ごちそう;楽しみ;嬉しい;楽しい;かわいい;食べる;味わう;舌を出す;グルメ,24,independent,independent,1,face savoring food
25,😛,1F61B,face with tongue,舌を出した顔,Smileys & Emotion,顔文字と感情,face-tongue,舌を出す顔,1,3,舌を出す顔;舌;顔;笑顔,舌;大きな口;丸い目;黄色;べー,チャット;返信;SNS;冗談;ふざける;軽口,おちゃらけ;いたずら;冗談;からかい;遊び心,楽しい;おちゃめ;軽い;面白い;ふざけた,舌を出す;ふざける;からかう;笑う,,舌を出す顔;舌;顔;笑顔;大きな口;丸い目;黄色;べー;チャット;返信;SNS;冗談;ふざける;軽口;おちゃらけ;いたずら;からかい;遊び心;楽しい;おちゃめ;軽い;面白い;ふざけた;舌を出す;からかう;笑う,25,independent,independent,1,face with tongue
26,😜,1F61C,winking face with tongue,あっかんべー,Smileys & Emotion,顔文字と感情,face-tongue,舌を出す顔,0.6,3,あっかんべー;舌;ウインク;顔,片目;舌;大きな口;黄色;ウインク,チャット;返信;SNS;冗談;からかい;軽口,いたずら;冗談;からかい;茶目っ気;遊び心,楽しい;おちゃめ;面白い;軽い;ふざけた,舌を出す;ウインクする;からかう;ふざける,,あっかんべー;舌;ウインク;顔;片目;大きな口;黄色;チャット;返信;SNS;冗談;からかい;軽口;いたずら;茶目っ気;遊び心;楽しい;おちゃめ;面白い;軽い;ふざけた;舌を出す;ウインクする;ふざける,26,independent,independent,1,winking face with tongue
27,🤪,1F92A,zany face,ふざけた顔,Smileys & Emotion,顔文字と感情,face-tongue,舌を出す顔,5,3,ふざけた顔;変顔;顔;舌,舌;片目;ゆがみ;大きな口;黄色;ぐにゃっと,チャット;返信;SNS;冗談;ネタ;ふざける;盛り上がり,変顔;狂気;ハイテンション;おふざけ;混乱;カオス,楽しい;面白い;おかしい;ハイテンション;ふざけた,ふざける;舌を出す;はしゃぐ;変顔する,ネットミーム,ふざけた顔;変顔;顔;舌;片目;ゆがみ;大きな口;黄色;ぐにゃっと;チャット;返信;SNS;冗談;ネタ;ふざける;盛り上がり;狂気;ハイテンション;おふざけ;混乱;カオス;楽しい;面白い;おかしい;舌を出す;はしゃぐ;変顔する;ネットミーム,27,independent,independent,1,zany face
28,😝,1F61D,squinting face with tongue,目を閉じてべー,Smileys & Emotion,顔文字と感情,face-tongue,舌を出す顔,0.6,3,目を閉じてべー;舌;顔;笑顔,閉じた目;舌;大きな口;黄色;くしゃっと,チャット;返信;SNS;冗談;からかい;ふざける,いたずら;冗談;からかい;おちゃらけ;勝ち気,楽しい;面白い;おちゃめ;ふざけた;得意,舌を出す;からかう;ふざける;笑う,,目を閉じてべー;舌;顔;笑顔;閉じた目;大きな口;黄色;くしゃっと;チャット;返信;SNS;冗談;からかい;ふざける;いたずら;おちゃらけ;勝ち気;楽しい;面白い;おちゃめ;得意;舌を出す;笑う,28,independent,independent,1,squinting face with tongue
29,🤑,1F911,money-mouth face,お金の顔,Smileys & Emotion,顔文字と感情,face-tongue,舌を出す顔,1,3,お金の顔;金の顔;顔;お金,ドル;舌;緑;お札;目がドル;黄色,お金;買い物;仕事;投資;報酬;セール;チャット,金運;欲しい;儲け;利益;大金;欲望;リッチ,嬉しい;欲しい;ワクワク;得意;ニヤニヤ,稼ぐ;買う;儲ける;欲しがる,お金;投資;ビジネス,お金の顔;金の顔;顔;お金;ドル;舌;緑;お札;目がドル;黄色;買い物;仕事;投資;報酬;セール;チャット;金運;欲しい;儲け;利益;大金;欲望;リッチ;嬉しい;ワクワク;得意;ニヤニヤ;稼ぐ;買う;儲ける;ビジネス,29,independent,independent,1,money-mouth face
30,🤗,1F917,smiling face with open hands,ハグ,Smileys & Emotion,顔文字と感情,face-hand,手のある顔,1,3,ハグ;笑顔;顔;開いた手,手;両手;笑った目;黄色;広げる,挨拶;お礼;慰め;応援;チャット;返信;SNS,歓迎;抱擁;やさしさ;受け入れる;安心;親しみ,嬉しい;あたたかい;安心;やさしい;かわいい;ほっこり,ハグする;抱きしめる;迎える;励ます,,ハグ;笑顔;顔;開いた手;手;両手;笑った目;黄色;広げる;挨拶;お礼;慰め;応援;チャット;返信;SNS;歓迎;抱擁;やさしさ;受け入れる;安心;親しみ;嬉しい;あたたかい;かわいい;ほっこり;ハグする;抱きしめる;迎える;励ます,30,independent,independent,1,smiling face with open hands
31,🤭,1F92D,face with hand over mouth,口に手を当てた顔,Smileys & Emotion,顔文字と感情,face-hand,手のある顔,5,3,口に手;顔;笑顔;手,手;口を隠す;笑った目;黄色;隠す,チャット;返信;SNS;秘密;冗談;照れ;うっかり,内緒;照れ笑い;くすくす;失言;秘密;かわいげ,恥ずかしい;照れる;面白い;気まずい;かわいい,口を隠す;笑う;ごまかす;内緒にする,,口に手;顔;笑顔;手;口を隠す;笑った目;黄色;隠す;チャット;返信;SNS;秘密;冗談;照れ;うっかり;内緒;照れ笑い;くすくす;失言;かわいげ;恥ずかしい;照れる;面白い;気まずい;かわいい;笑う;ごまかす,31,independent,independent,1,face with hand over mouth
32,🫢,1FAE2,face with open eyes and hand over mouth,目を開けて口に手を当てた顔,Smileys & Emotion,顔文字と感情,face-hand,手のある顔,14,3,口に手;驚き顔;顔;手,手;開いた目;口を隠す;黄色;びっくり,チャット;返信;SNS;驚き;失言;秘密;ニュース,びっくり;しまった;言い過ぎ;内緒;予想外;気づき,驚く;焦る;気まずい;恥ずかしい;不安,口を隠す;驚く;気づく;黙る,,口に手;驚き顔;顔;手;開いた目;口を隠す;黄色;びっくり;チャット;返信;SNS;驚き;失言;秘密;ニュース;しまった;言い過ぎ;内緒;予想外;気づき;焦る;気まずい;恥ずかしい;不安;驚く;気づく;黙る;後悔,32,independent,independent,1,face with open eyes and hand over mouth
33,🫣,1FAE3,face with peeking eye,指の間からのぞき見る顔,Smileys & Emotion,顔文字と感情,face-hand,手のある顔,14,3,のぞき見る顔;顔;手;目,指の間;片目;手で隠す;黄色;ちらっ,チャット;返信;SNS;怖いもの見たさ;確認;恥ずかしい時,こっそり;怖いもの見たさ;気になる;恥ずかしい;見たいけど怖い,恥ずかしい;怖い;気になる;不安;ドキドキ,のぞく;隠れる;見る;確認する,,のぞき見る顔;顔;手;目;指の間;片目;手で隠す;黄色;ちらっ;チャット;返信;SNS;怖いもの見たさ;確認;恥ずかしい時;こっそり;気になる;見たいけど怖い;恥ずかしい;怖い;不安;ドキドキ;のぞく;隠れる;見る;確認する;黒歴史,33,independent,independent,1,face with peeking eye
34,🤫,1F92B,shushing face,しーっ,Smileys & Emotion,顔文字と感情,face-hand,手のある顔,5,3,しーっ;静かに;顔;指,指;口元;丸い目;黄色;人差し指,秘密;静かにする;注意;チャット;返信;SNS;図書館,内緒;秘密;沈黙;静けさ;口止め;守秘,静か;慎重;秘密めいた;落ち着く,黙る;静かにする;秘密にする;口止めする,,しーっ;静かに;顔;指;口元;丸い目;黄色;人差し指;秘密;静かにする;注意;チャット;返信;SNS;図書館;内緒;沈黙;静けさ;口止め;守秘;静か;慎重;秘密めいた;落ち着く;黙る;秘密にする,34,independent,independent,1,shushing face
35,🤔,1F914,thinking face,考える顔,Smileys & Emotion,顔文字と感情,face-hand,手のある顔,1,3,考える顔;顔;考える;手,手をあごに当てる;眉;目;黄色;思案,質問;相談;確認;検討;チャット;返信;仕事;勉強,疑問;思考;検討;判断;迷い;推理;アイデア,悩む;気になる;不思議;慎重;真面目,考える;悩む;迷う;検討する;質問する,,考える顔;顔;考える;手;手をあごに当てる;眉;目;黄色;思案;質問;相談;確認;検討;チャット;返信;仕事;勉強;疑問;思考;判断;迷い;推理;アイデア;悩む;気になる;不思議;慎重;真面目;迷う;検討する;質問する;可能性;理解;発想;目的;選択;戸惑い;気づき,35,independent,independent,1,thinking face
36,🫡,1FAE1,saluting face,敬礼する顔,Smileys & Emotion,顔文字と感情,face-hand,手のある顔,14,3,敬礼;敬礼する顔;顔,手;額;まっすぐ;黄色;敬礼ポーズ,了解;報告;仕事;チーム;応援;チャット;返信;任務,了解;任せて;尊敬;忠誠;使命;責任;礼儀,真面目;頼もしい;誠実;前向き;きりっと,敬礼する;了解する;報告する;応援する,軍隊;制服;任務,敬礼;敬礼する顔;顔;手;額;まっすぐ;黄色;敬礼ポーズ;了解;報告;仕事;チーム;応援;チャット;返信;任務;任せて;尊敬;忠誠;使命;責任;礼儀;真面目;頼もしい;誠実;前向き;きりっと;敬礼する;了解する;軍隊;制服,36,independent,independent,1,saluting face
37,🤐,1F910,zipper-mouth face,口チャック,Smileys & Emotion,顔文字と感情,face-neutral-skeptical,中立・疑いの顔,1,3,口チャック;口を閉じる顔;顔,ジッパー;チャック;閉じた口;黄色;無言,秘密;黙る;チャット;返信;SNS;内緒;言えない時,沈黙;守秘;口止め;秘密厳守;ノーコメント,気まずい;慎重;不安;黙っている;秘密めいた,黙る;口を閉じる;秘密にする;言わない,,口チャック;口を閉じる顔;顔;ジッパー;チャック;閉じた口;黄色;無言;秘密;黙る;チャット;返信;SNS;内緒;言えない時;沈黙;守秘;口止め;秘密厳守;ノーコメント;気まずい;慎重;不安;黙っている;秘密めいた;口を閉じる;秘密にする;言わない,37,independent,independent,1,zipper-mouth face
38,🤨,1F928,face with raised eyebrow,眉を上げた顔,Smileys & Emotion,顔文字と感情,face-neutral-skeptical,中立・疑いの顔,5,3,眉を上げた顔;疑う顔;顔;眉,片眉;上がった眉;横目;黄色;しかめる,質問;確認;疑問;チャット;返信;SNS;怪しい時,疑い;違和感;不信;本当か;納得できない;ツッコミ,怪しい;疑わしい;不満;困惑;慎重,疑う;確認する;問い返す;見極める,,眉を上げた顔;疑う顔;顔;眉;片眉;上がった眉;横目;黄色;しかめる;質問;確認;疑問;チャット;返信;SNS;怪しい時;疑い;違和感;不信;本当か;納得できない;ツッコミ;怪しい;疑わしい;不満;困惑;慎重;疑う;問い返す;見極める,38,independent,independent,1,face with raised eyebrow
39,😐,1F610,neutral face,ポーカーフェイス,Smileys & Emotion,顔文字と感情,face-neutral-skeptical,中立・疑いの顔,0.7,3,ポーカーフェイス;無表情;顔,まっすぐな口;丸い目;黄色;平ら;表情なし,返信;チャット;SNS;反応;微妙;様子見,無反応;中立;沈黙;ノーコメント;普通;何とも言えない,冷静;微妙;無感情;困る;淡々,黙る;様子を見る;反応しない,,ポーカーフェイス;無表情;顔;まっすぐな口;丸い目;黄色;平ら;表情なし;返信;チャット;SNS;反応;微妙;様子見;無反応;中立;沈黙;ノーコメント;普通;何とも言えない;冷静;無感情;困る;淡々;黙る;様子を見る;反応しない;地味;つまらない;真顔;戸惑い,39,independent,independent,1,neutral face
